timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1443289856041626,-1,1,-1,-1,-1,0,0,1
1443289856041626,-6,8,1,-2,-1,-1,-4,-4
1443289856043628,-1,9,1,-1,-1,-1,0,-1
1443289856043628,0,-8,-1,-2,-2,-1,-4,-1
1443289856064640,0,-2,-5,1,-1,-1,1,1
1443289856064640,-2,-7,-1,-1,-1,-1,-2,-1
1443289856066641,5,10,0,-1,0,0,-3,-1
1443289856066641,-4,-2,0,-3,-1,1,3,-1
1443289856078649,-5,-10,3,1,0,-1,-1,-1
1443289856078649,4,17,0,-3,-1,1,-1,1
1443289856087655,-2,-14,-2,1,-2,-1,0,-1
1443289856087655,3,5,1,4,0,-2,-3,-3
1443289856102667,1,2,0,-4,-1,-1,-5,1
1443289856102667,-9,-19,-7,-8,-1,0,-1,-2
1443289856103667,-3,-2,2,4,-1,-1,-4,-1
1443289856103667,3,14,4,-1,-1,0,1,1
1443289856124681,-2,-4,0,2,-1,0,1,0
1443289856124681,5,-2,0,-1,-1,-3,-3,-2
1443289856125682,-6,-8,-4,-4,0,-1,1,0
1443289856125682,-1,2,0,1,-1,0,-1,-1
1443289856146698,-5,-9,-2,-2,0,1,0,-1
1443289856146698,1,18,0,-1,-3,-3,-2,-1
1443289856148698,3,2,1,3,-1,-1,0,-2
1443289856148698,0,7,-2,-3,0,-1,0,1
1443289856161704,-2,-6,0,1,0,-1,0,0
1443289856161704,-4,-8,-3,0,0,-2,0,-1
1443289856163709,-2,-4,1,1,0,1,2,1
1443289856163709,-4,-9,0,1,0,-1,-1,-2
1443289856184722,5,8,-6,-4,-1,-1,-1,-1
1443289856184722,-1,-6,-4,-1,-2,1,-2,-1
1443289856185721,3,28,4,-6,-3,-2,0,-1
1443289856185721,-2,-11,-3,4,-2,-3,-1,-1
1443289856206741,3,12,2,1,0,1,0,-3
1443289856206741,-5,-12,0,2,0,-1,-1,0
1443289856208736,0,-12,-7,-3,-2,0,-2,2
1443289856208736,-3,5,-1,-5,-3,2,0,-1
1443289856222747,-1,-7,-2,1,0,0,0,1
1443289856222747,2,5,2,0,0,-2,0,-2
1443289856227749,-5,-14,-3,0,0,-1,-2,-1
1443289856227749,3,10,2,1,2,-2,0,-1
1443289856244761,-3,-9,-4,-5,-3,-3,-1,-2
1443289856244761,1,4,2,1,-2,0,0,0
1443289856245763,0,-8,0,-1,-1,0,0,1
1443289856245763,-3,-8,-10,-3,-1,-1,-1,0
1443289856266779,1,3,1,-3,-1,-1,-1,-3
1443289856266779,2,1,-4,-3,-1,0,2,3
1443289856268789,1,-3,0,-2,-2,-3,-6,-2
1443289856268789,0,3,2,4,-1,1,2,0
1443289856281785,-5,-2,2,-1,-2,-1,-1,-1
1443289856281785,4,13,0,0,-1,-1,-2,0
1443289856287790,-5,-7,-2,-2,-2,-1,0,-1
1443289856287790,6,7,-1,-1,-2,0,-2,-1
1443289856304808,-5,-13,-1,-2,-3,-1,-1,-2
1443289856304808,2,-1,0,-4,-3,-1,-2,-2
1443289856305802,-7,-9,-2,-1,-2,2,-1,0
1443289856305802,-3,1,-1,0,0,-2,-1,-1
1443289856326816,-1,-6,-2,-1,1,-1,0,-1
1443289856326816,-3,21,3,0,0,0,-1,-2
1443289856328817,8,10,3,3,1,0,2,-1
1443289856328817,0,-33,-8,-2,-1,1,0,0
1443289856340827,5,24,-1,1,-1,-1,1,0
1443289856340827,-5,0,-1,-4,0,2,0,0
1443289856347830,-2,-3,-2,0,0,1,1,-2
1443289856347830,-3,2,3,0,1,-1,-1,-1
1443289856364842,8,-2,-4,-3,-2,-1,-2,-1
1443289856364842,-4,-12,-1,0,0,1,3,1
1443289856365842,-6,3,-1,-1,-2,-2,0,-1
1443289856365842,-2,5,-2,-1,-1,0,-2,1
1443289856386855,5,-19,-3,-1,-1,-2,0,-3
1443289856386855,0,31,7,3,-1,0,1,0
1443289856388856,3,-5,-2,-4,0,0,1,-1
1443289856388856,-5,-1,1,0,0,-1,0,-2
1443289856401865,-8,-14,0,1,0,-1,-2,0
1443289856401865,2,-1,-4,-2,-1,-2,-3,-1
1443289856407876,-4,8,-1,0,-1,-1,0,1
1443289856407876,10,9,2,-3,-2,-2,0,-1
1443289856424880,-4,0,0,-1,0,1,1,0
1443289856424880,-1,-20,-5,2,-2,-2,-1,-1
1443289856425880,-3,-4,-5,-5,-1,0,0,0
1443289856425880,0,15,-2,5,-1,-1,-3,0
1443289856446894,-1,3,3,-1,-1,-1,0,-1
1443289856446894,-2,-16,-4,0,0,-2,-2,-2
1443289856448895,0,-4,0,1,-2,-1,-1,-1
1443289856448895,0,0,-1,-5,-3,-2,-1,-1
1443289856460914,0,17,6,-1,-3,-2,-1,-1
1443289856460914,0,-18,-14,-1,-3,-3,0,0
1443289856475914,0,5,0,-4,0,0,1,1
1443289856475914,-4,-22,-3,0,2,2,2,0
1443289856484920,7,39,4,4,1,2,0,2
1443289856484920,0,-7,3,-3,-3,-2,-4,-3
1443289856485921,-4,6,-3,3,0,-1,1,0
1443289856485921,1,-2,-2,-3,-3,-1,-1,-2
1443289856506941,-12,0,-4,-4,-2,-3,-3,-1
1443289856506941,5,10,8,5,0,2,-1,-1
1443289856508935,10,0,-1,1,0,-2,-3,0
1443289856508935,-8,-7,3,0,0,0,-1,1
1443289856522031,1,-8,-3,2,1,0,1,-2
1443289856522031,-3,5,0,-4,-1,-1,-3,-3
1443289856527950,-2,-14,-1,-1,-1,-1,2,-1
1443289856527950,4,26,5,-1,-3,1,5,1
1443289856544960,-5,-48,-9,-3,-1,0,-1,-1
1443289856544960,3,27,1,0,-1,0,-1,-1
1443289856545962,1,1,5,1,-1,0,-3,-2
1443289856545962,-3,-4,-4,-6,-3,-3,0,-4
1443289856566976,-7,-10,4,4,0,1,-1,0
1443289856566976,-6,-15,-8,0,1,-1,0,0
1443289856568976,3,21,4,1,-1,-2,-3,-1
1443289856568976,5,7,0,2,0,-2,-3,-1
1443289856580987,-2,-2,3,-2,-2,-1,-4,-2
1443289856580987,-1,-14,-2,-4,-1,0,2,-1
1443289856587990,-6,2,1,0,-2,0,2,0
1443289856587990,-1,-3,-2,-2,-1,0,-2,-1
1443289856605007,2,7,-2,0,-1,0,0,0
1443289856605007,-3,-29,-6,-1,-1,-1,-3,-1
1443289856606002,1,8,-1,-2,-2,-2,-2,-1
1443289856606002,-4,9,2,0,0,-4,0,-2
1443289856627024,2,-4,-6,-6,-1,1,0,-2
1443289856627024,4,14,7,1,-1,2,-1,0
1443289856629016,-5,-19,-7,-2,1,0,-6,0
1443289856629016,0,-7,-2,-1,-3,-2,-1,0
1443289856641024,-1,5,-2,0,-2,-2,0,-1
1443289856641024,-3,-1,-6,-3,1,-2,2,1
1443289856650031,1,-3,4,1,2,1,1,-3
1443289856650031,0,-2,3,1,0,1,-3,0
1443289856665041,-6,-7,-3,-5,1,-1,-1,0
1443289856665041,0,6,0,7,0,1,0,0
1443289856666041,7,10,-4,-2,-1,0,0,-2
1443289856666041,-2,-17,-5,-3,-3,-1,-5,1
1443289856687055,-1,15,2,-4,-4,-3,2,0
1443289856687055,-3,-11,2,-1,-1,-1,-1,0
1443289856689055,-4,-6,-1,1,0,-1,0,-2
1443289856689055,1,0,-2,1,0,-1,-1,0
1443289856701074,-4,-6,3,3,2,0,-1,1
1443289856701074,-5,-9,-6,-7,-5,-1,-5,-3
1443289856710073,1,17,3,2,-2,-2,-1,0
1443289856710073,-4,-7,-2,-3,-1,-1,0,-3
1443289856725082,4,2,1,1,0,-3,-2,-1
1443289856725082,-4,-8,2,1,0,0,0,0
1443289856726081,1,0,-2,-3,-3,-2,-2,-1
1443289856726081,1,3,0,0,-1,-1,0,-2
1443289856747097,-1,-5,-3,2,2,1,0,-2
1443289856747097,-4,6,3,1,-1,0,2,-2
1443289856749096,-7,-15,-5,-3,-2,-1,-3,0
1443289856749096,7,25,1,-1,-2,-3,0,-1
1443289856761104,2,2,-2,-1,-3,-2,-1,-1
1443289856761104,2,-6,-1,-3,-1,0,-1,2
1443289856770110,-7,-28,-5,-3,0,-1,0,1
1443289856770110,1,14,5,1,1,1,-2,1
1443289856784120,0,10,1,3,0,0,-1,-1
1443289856784120,2,-6,-2,-6,-1,0,1,-1
1443289856786121,1,11,2,4,-1,0,1,0
1443289856786121,-8,-22,-3,2,1,0,-1,-1
1443289856807135,8,11,-1,-4,-2,-1,-1,-2
1443289856807135,1,-7,-4,1,-1,-2,2,1
1443289856809137,-1,15,3,-5,-3,-2,-6,0
1443289856809137,1,-5,-6,0,-2,-2,0,-1
1443289856821144,-3,-9,-2,-1,-3,-2,-7,-2
1443289856821144,-1,6,0,-2,0,-2,-1,-3
1443289856829150,-1,-10,0,2,1,0,2,1
1443289856829150,0,5,2,-2,-2,0,0,1
1443289856844159,-2,-18,-5,-1,-1,0,1,0
1443289856844159,2,22,-1,-3,-3,-4,-5,0
1443289856846161,1,-3,2,0,0,-2,-1,-1
1443289856846161,-3,0,1,-3,-1,1,0,-2
1443289856867175,2,8,0,-4,-1,0,-2,-1
1443289856867175,-3,-25,-1,4,0,0,-1,1
1443289856868177,-5,23,1,3,-1,0,1,0
1443289856868177,7,6,5,-4,-3,-1,-5,0
1443289856881185,-10,-12,-8,-1,1,1,-2,-1
1443289856881185,10,17,-2,-1,0,-1,1,-1
1443289856889194,2,-15,-2,-3,-1,-1,0,0
1443289856889194,-5,-14,-7,-6,-1,-2,1,-1
1443289856904200,1,-5,7,6,1,-1,-1,1
1443289856904200,-3,15,5,-2,0,0,-1,0
1443289856907202,1,-5,-6,-2,-1,0,-3,0
1443289856907202,-4,0,-2,1,0,1,1,0
1443289856927214,9,13,-1,0,-2,-1,-1,1
1443289856927214,-7,-21,-1,2,-2,0,-3,-2
1443289856928216,-1,6,1,-4,-1,-3,0,-2
1443289856928216,-1,-2,0,-1,0,-2,0,-1
1443289856940224,-6,1,2,-4,-1,-2,0,-2
1443289856940224,6,-3,-3,0,0,0,-1,-1
